Codigo,Nombre,DRE,Sis Hidro,CUENCA,RIO,DPTO,PROV,DISTRITO,LONG,LAT,ALT,INICIO,ENT,Q
204501,SALAMANCA,6,PACIFICO,OCONA,ARMA,AREQUIPA,CONDESUYOS,SALAMANCA,72.83333333,15.85,3200,1964,1SENAMHI,AFO
204702,SUMBAY,6,PACIFICO,QUILCA,SUMBAY,AREQUIPA,CAYLLOMA,S. A. DE CHUCA,71.11666667,15.81666667,4403,1966,1SENAMHI,AFO
204709,TINGO GRANDE,6,PACIFICO,QUILCA,SOCABAYA,AREQUIPA,AREQUIPA,SOCABAYA,71.57380556,16.45941667,2300,1967,1SENAMHI,AFO
215204,BOCATOMA,7,LAGO TITICACA,MAURE,MAURE,TACNA,TACNA,PACHIA,69.626,17.57958333,4260,1996,1SENAMHI,NIV
211706,CHUAPALCA,7,LAGO TITICACA,MAURE,MAURE,TACNA,TARATA,TARATA,69.63486111,17.36388889,4250,1964,1SENAMHI,NIV
211704,FRONTERA,7,LAGO TITICACA,CAPLINA,MAURE,TACNA,TACNA,PALCA,69.46547222,17.39430556,4000,1964,1SENAMHI,AFO
205103,LA TRANCA,7,PACIFICO,SAMA,SAMA,TACNA,TACNA,INCLAN,70.47916667,17.73011111,620,1972,1SENAMHI,AFO
204812,OTORA,7,PACIFICO,ILO_MOQUEGUA,HUARACANE,MOQUEGUA,MARISCAL NIETO,TORATA,70.85336111,17.00694444,2595,2002,1SENAMHI,AFO
205006,TICAPAMPA,7,PACIFICO,LOCUMBA,CURIBAYA,TACNA,JORGE BASADRE,ILABAYA,70.03333333,17.06666667,1120,1963,1SENAMHI,AFO
204804,TUMILACA,7,PACIFICO,ILO_MOQUEGUA,MOQUEGUA,MOQUEGUA,MARISCAL NIETO,TORATA,70.83375,17.12641667,1950,2002,1SENAMHI,AFO
211707,VILACOTA,7,LAGO TITICACA,MAURE,MAURE,TACNA,TARATA,SUSAPAYA,70.05625,17.1195,4390,1972,1SENAMHI,AFO
260102,BELLAVISTA,8,RIO ALTO         ,NAPO,NAPO,LORETO,MAYNAS,MAZAN,73.08472222,3.4875,110,1984,1SENAMHI,NIV
220107,BORJA,8,RIO MARANON, BAJO MARANON,MARANON,LORETO,A. AMAZONAS,MANSERICHE,77.45,4.45,450,1986,1SENAMHI,NIV
231301,CONTAMANA,8,RIO UCAYALI,UCAYALI,UCAYALI,LORETO,UCAYALI,CONTAMANA,75.00055556,7.352083333,134,1998,1SENAMHI,NIV
